timestamp,gas_consumption,outside_temperature,heat_production_mwh,electricity_production_mwh
2026-01-01 00:00:00,1200,2.1,210,52
2026-01-01 01:00:00,1185,1.8,208,51
2026-01-01 02:00:00,1170,1.5,204,50
2026-01-01 03:00:00,1168,1.2,203,50
2026-01-01 04:00:00,1195,1.0,209,51
2026-01-01 05:00:00,1260,0.8,220,53
2026-01-01 06:00:00,1340,0.6,238,56
2026-01-01 07:00:00,1415,0.9,252,60
2026-01-01 08:00:00,1450,1.4,258,62
2026-01-01 09:00:00,1435,2.3,254,61
2026-01-01 10:00:00,1390,3.2,244,59
2026-01-01 11:00:00,1355,4.0,236,58
2026-01-01 12:00:00,1320,4.7,228,56
2026-01-01 13:00:00,1305,5.1,224,55
2026-01-01 14:00:00,1290,5.0,222,55
2026-01-01 15:00:00,1325,4.4,230,56
2026-01-01 16:00:00,1395,3.5,246,60
2026-01-01 17:00:00,1470,2.7,263,64
2026-01-01 18:00:00,1510,2.2,272,66
2026-01-01 19:00:00,1495,2.0,268,65
2026-01-01 20:00:00,1440,1.9,256,62
2026-01-01 21:00:00,1375,1.7,242,59
2026-01-01 22:00:00,1305,1.5,226,55
2026-01-01 23:00:00,1240,1.3,214,53
